Infinitiv,Präteritum,Perfekt,Переклад
backen,backte / buk,hat gebacken,пекти
befehlen,befahl,hat befohlen,наказувати
beginnen,begann,hat begonnen,починати
beißen,biss,hat gebissen,кусати
biegen,bog,hat gebogen,"гнути, повертати"
bieten,bot,hat geboten,пропонувати
binden,band,hat gebunden,зв'язувати
bitten,bat,hat gebeten,просити
bleiben,blieb,ist geblieben,залишатися
braten,briet,hat gebraten,смажити
brechen,brach,hat gebrochen,ламати
brennen,brannte,hat gebrannt,"горіти, палити"
bringen,brachte,hat gebracht,приносити
denken,dachte,hat gedacht,думати
empfehlen,empfahl,hat empfohlen,рекомендувати
erschrecken,erschrak,ist erschrocken,лякатися
essen,aß,hat gegessen,їсти
fahren,fuhr,ist / hat gefahren,"їхати, вести авто"
fallen,fiel,ist gefallen,падати
fangen,fing,hat gefangen,ловити
finden,fand,hat gefunden,знаходити
fliegen,flog,ist / hat geflogen,"летіти, пілотувати"
fliehen,floh,ist geflohen,тікати
frieren,fror,hat gefroren,"мерзнути, замерзати"
geben,gab,hat gegeben,давати
gehen,ging,ist gegangen,йти
gelingen,gelang,ist gelungen,вдаватися
genesen,genas,ist genesen,одужувати
genießen,genoss,hat genossen,насолоджуватися
geschehen,geschah,ist geschehen,"ставатися, відбуватися"
gewinnen,gewann,hat gewonnen,"вигравати, перемагати"
greifen,griff,hat gegriffen,хапати
haben,hatte,hat gehabt,мати
halten,hielt,hat gehalten,тримати
hängen,hing,hat gehangen,висіти
heißen,hieß,hat geheißen,називатися
helfen,half,hat geholfen,допомагати
kennen,kannte,hat gekannt,знати (когось/щось)
klingen,klang,hat geklungen,звучати
kommen,kam,ist gekommen,приходити
laden,lud,hat geladen,"вантажити, заряджати"
lassen,ließ,hat gelassen,"залишати, дозволяти"
laufen,lief,ist gelaufen,бігати
leiden,litt,hat gelitten,страждати
leihen,lieh,hat geliehen,позичати
lesen,las,hat gelesen,читати
liegen,lag,hat gelegen,лежати
lügen,log,hat gelogen,брехати
nehmen,nahm,hat genommen,брати
nennen,nannte,hat genannt,називати
